9781455544943|Merry Christmas, Alex Cross|15.99|images/book/9781455544943.jpg|1
9781455520619|See Me|27.00|images/book/9781455520619.jpg|1
9781594633669|The Girl On The Train|26.95|images/book/9781594633669.jpg|1
9781451649321|The Lake House|28.00|images/book/9781594633669.jpg|1
9780316410984|The Murder House|28.00|images/book/9780316410984.jpg|1
9780553296983|Anne Frank: The Diary Of A Young Girl|5.99|images/book/9780553296983.jpg|2
9780316322423|I Am Malala: The Girl Who Stood Up For Education And Was Shot By The Taliban|16.00|images/book/9780316322423.jpg|2
9780060522551|Kepler's Witch|24.95|images/book/9780060522551.jpg|2
9781611450484|The Kennedy Brothers: The Rise And Fall Of Jack And Bobby|16.95|images/book/9781611450484.jpg|2
9781476728742|The Wright Brothers|30.00|images/book/9781476728742.jpg|2
